Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-2023-05693,2023-01-01,2023-01-07,Second Class,Isaiah Turner,Consumer,Salt Lake City,Utah,West,Technology,Phones,OnePlus 12,1200.27,2,0.05,160.93
ORD-2023-02235,2023-01-01,2023-01-06,Standard Class,Daniel Stout,Home Office,Houston,Texas,Central,Technology,Laptops,ThinkPad X1 Carbon,3983.97,3,0.05,586.1
ORD-2023-03138,2023-01-01,2023-01-03,Same Day,Derek Mcintosh,Home Office,Nashville,Tennessee,South,Technology,Monitors,"ASUS ProArt 27""",1307.22,2,0.0,394.39
ORD-2023-03245,2023-01-01,2023-01-04,Standard Class,Tammy Rowe,Consumer,St. Louis,Missouri,Central,Furniture,Furnishings,Whiteboard 48x36,130.25,1,0.1,22.64
ORD-2023-07089,2023-01-01,2023-01-05,Second Class,Kevin Carrillo,Corporate,Charlotte,North Carolina,East,Technology,Monitors,"Samsung Curved 34""",566.52,1,0.0,173.07
ORD-2023-02151,2023-01-01,2023-01-06,Standard Class,Walter Hansen,Home Office,Houston,Texas,Central,Technology,Phones,iPhone 15 Pro,742.9,1,0.25,119.58
ORD-2023-07296,2023-01-01,2023-01-05,Standard Class,Donald Johnson,Consumer,San Francisco,California,West,Furniture,Chairs,Executive Leather Chair,1966.33,4,0.0,190.21
ORD-2023-00060,2023-01-01,2023-01-05,First Class,John Daniel,Corporate,Memphis,Tennessee,South,Office Supplies,Art Supplies,Pencil Set Mechanical,30.36,2,0.0,11.7
ORD-2023-04904,2023-01-01,2023-01-06,First Class,Michael Smith,Consumer,San Francisco,California,West,Furniture,Chairs,Executive Leather Chair,1807.12,4,0.05,321.11
ORD-2023-08473,2023-01-01,2023-01-07,Second Class,Mary Williams,Corporate,Houston,Texas,Central,Office Supplies,Art Supplies,Marker Set 24-Color,26.6,1,0.0,11.34
ORD-2023-06175,2023-01-01,2023-01-06,Standard Class,Dr. Jose Garcia,Corporate,Atlanta,Georgia,East,Technology,Accessories,Logitech MX Master,280.05,3,0.0,51.67
ORD-2023-06547,2023-01-01,2023-01-03,Standard Class,Darren Smith,Consumer,New York,New York,East,Office Supplies,Binders,3-Ring Binder Set,75.1,4,0.1,25.5
